pkMemberSeason,fkMemberID,Season,MemberType,RatingPoints
4531,24,2014 - 2015,Regular,17
4532,208,2014 - 2015,Regular,17
4533,233,2014 - 2015,Regular,15
4534,435,2014 - 2015,Regular,16
4535,453,2014 - 2015,Regular,16
4536,252,2014 - 2015,Regular,10
4537,419,2014 - 2015,Regular,18
4538,368,2014 - 2015,Regular,12
4540,113,2014 - 2015,Regular,12
4541,249,2014 - 2015,Regular,5
4542,211,2014 - 2015,Regular,12
4543,523,2014 - 2015,Regular,17
4544,262,2014 - 2015,Regular,18
4545,136,2014 - 2015,Regular,6
4546,220,2014 - 2015,Regular,11
4547,360,2014 - 2015,Regular,17
4548,129,2014 - 2015,Regular,18
4549,171,2014 - 2015,Regular,18
4550,117,2014 - 2015,Regular,15
4551,230,2014 - 2015,Regular,14
4552,103,2014 - 2015,Regular,4
4553,473,2014 - 2015,Regular,16
4555,393,2014 - 2015,Regular,11
4557,311,2014 - 2015,Student,3
4559,388,2014 - 2015,Regular,10
4560,245,2014 - 2015,Regular,19
4561,158,2014 - 2015,Regular,12
4562,474,2014 - 2015,Regular,19
4563,451,2014 - 2015,Regular,13
4564,279,2014 - 2015,Regular,10
4565,524,2014 - 2015,Regular,17
4566,312,2014 - 2015,Regular,16
4567,166,2014 - 2015,Regular,17
4568,361,2014 - 2015,Regular,16
4569,90,2014 - 2015,Regular,10
4570,372,2014 - 2015,Regular,8
4571,45,2014 - 2015,Regular,15
4572,300,2014 - 2015,Regular,11
4573,42,2014 - 2015,Regular,9
4574,315,2014 - 2015,Competitive,20
4575,346,2014 - 2015,Regular,19
4576,420,2014 - 2015,Regular,16
4577,525,2014 - 2015,Regular,4
4578,326,2014 - 2015,Regular,11
4580,416,2014 - 2015,Regular,15
4581,64,2014 - 2015,Regular,7
4582,513,2014 - 2015,Regular,7
4583,287,2014 - 2015,Regular,5
4584,365,2014 - 2015,Regular,16
4585,2,2014 - 2015,Regular,8
4586,244,2014 - 2015,Regular,5
4587,7,2014 - 2015,Regular,12
4588,289,2014 - 2015,Regular,11
4589,185,2014 - 2015,Regular,17
4590,476,2014 - 2015,Regular,12
4591,251,2014 - 2015,Regular,9
4592,222,2014 - 2015,Regular,13
4593,408,2014 - 2015,Regular,15
4594,65,2014 - 2015,Regular,18
4595,100,2014 - 2015,Regular,8
4596,450,2014 - 2015,Regular,7
4597,41,2014 - 2015,Regular,12
4598,109,2014 - 2015,Regular,7
4600,101,2014 - 2015,Regular,15
4601,353,2014 - 2015,Regular,15
4602,161,2014 - 2015,Regular,12
4603,199,2014 - 2015,Regular,9
4604,217,2014 - 2015,Regular,5
4605,174,2014 - 2015,Regular,9
4606,304,2014 - 2015,Regular,16
4607,125,2014 - 2015,Regular,5
4608,294,2014 - 2015,Regular,18
4609,535,2014 - 2015,Regular,14
4610,550,2014 - 2015,Regular,13
4611,551,2014 - 2015,Regular,17
4612,12,2014 - 2015,Honorary,0
4613,51,2014 - 2015,Life,0
4614,62,2014 - 2015,Honorary,0
4616,236,2014 - 2015,Honorary,0
4619,382,2014 - 2015,Honorary,0
4620,552,2014 - 2015,Regular,8
4622,554,2014 - 2015,Regular,7
4623,238,2014 - 2015,Competitive,15
4624,323,2014 - 2015,Regular,9
4625,432,2014 - 2015,Regular,6
4626,320,2014 - 2015,Regular,12
4627,338,2014 - 2015,Regular,17
4628,482,2014 - 2015,Regular,10
4629,487,2014 - 2015,Regular,7
4630,370,2014 - 2015,Regular,11
4633,512,2014 - 2015,Regular,4
4634,135,2014 - 2015,Regular,8
4635,75,2014 - 2015,Regular,18
4636,17,2014 - 2015,Regular,14
4637,433,2014 - 2015,Regular,15
4638,128,2014 - 2015,Regular,9
4639,92,2014 - 2015,Regular,15
4640,147,2014 - 2015,Regular,7
4642,399,2014 - 2015,Regular,9
4643,308,2014 - 2015,Regular,10
4644,223,2014 - 2015,Regular,19
4645,336,2014 - 2015,Social,0
4646,8,2014 - 2015,Regular,16
4647,344,2014 - 2015,Regular,18
4648,282,2014 - 2015,Regular,18
4649,345,2014 - 2015,Regular,19
4650,235,2014 - 2015,Regular,16
4651,414,2014 - 2015,Regular,15
4652,60,2014 - 2015,Regular,20
4653,349,2014 - 2015,Regular,5
4654,94,2014 - 2015,Regular,17
4655,331,2014 - 2015,Regular,14
4656,55,2014 - 2015,Regular,7
4657,81,2014 - 2015,Regular,16
4658,176,2014 - 2015,Regular,3
4659,201,2014 - 2015,Regular,18
4660,437,2014 - 2015,Regular,10
4661,277,2014 - 2015,Regular,17
4662,182,2014 - 2015,Regular,7
4663,511,2014 - 2015,Regular,17
4664,509,2014 - 2015,Regular,5
4666,306,2014 - 2015,Regular,19
4668,179,2014 - 2015,Regular,8
4669,133,2014 - 2015,Regular,4
4670,87,2014 - 2015,Regular,4
4671,168,2014 - 2015,Regular,18
4672,290,2014 - 2015,Regular,8
4673,378,2014 - 2015,Regular,16
4674,409,2014 - 2015,Regular,19
4675,305,2014 - 2015,Regular,16
4676,18,2014 - 2015,Regular,6
4677,167,2014 - 2015,Regular,16
4678,313,2014 - 2015,Regular,14
4679,440,2014 - 2015,Regular,8
4680,454,2014 - 2015,Regular,18
4682,159,2014 - 2015,Regular,16
4683,187,2014 - 2015,Regular,8
4684,184,2014 - 2015,Regular,17
4685,394,2014 - 2015,Regular,7
4686,144,2014 - 2015,Regular,2
4687,460,2014 - 2015,Regular,17
4688,247,2014 - 2015,Regular,6
4689,181,2014 - 2015,Regular,4
4690,73,2014 - 2015,Regular,8
4691,203,2014 - 2015,Regular,5
4692,334,2014 - 2015,Regular,18
4693,115,2014 - 2015,Regular,17
4695,107,2014 - 2015,Regular,16
4696,341,2014 - 2015,Regular,5
4697,22,2014 - 2015,Regular,13
4698,13,2014 - 2015,Regular,13
4699,362,2014 - 2015,Regular,9
4700,455,2014 - 2015,Regular,8
4701,219,2014 - 2015,Mixed,8
4702,37,2014 - 2015,Regular,18
4703,384,2014 - 2015,Regular,17
4704,385,2014 - 2015,Regular,18
4705,298,2014 - 2015,Regular,14
4707,571,2014 - 2015,Regular,8
4708,496,2014 - 2015,Regular,17
4709,270,2014 - 2015,Regular,15
4710,575,2014 - 2015,Regular,17
4711,386,2014 - 2015,Regular,19
4712,276,2014 - 2015,Regular,16
4713,350,2014 - 2015,Regular,16
4714,207,2014 - 2015,Regular,5
4715,322,2014 - 2015,Regular,15
4716,576,2014 - 2015,Regular,6
4717,577,2014 - 2015,Regular,6
4719,50,2014 - 2015,Regular,7
4720,413,2014 - 2015,Regular,7
4721,514,2014 - 2015,Regular,17
4722,461,2014 - 2015,Regular,20
4723,265,2014 - 2015,Regular,4
4724,578,2014 - 2015,Regular,14
4725,7078,2014 - 2015,Regular,15
4726,192,2014 - 2015,Regular,20
4727,61,2014 - 2015,Regular,19
4728,63,2014 - 2015,Senior,0
4729,579,2014 - 2015,Regular,14
4731,318,2014 - 2015,Regular,16
4733,44,2014 - 2015,Student,13
4734,114,2014 - 2015,Regular,8
4735,330,2014 - 2015,Regular,9
4736,268,2014 - 2015,Regular,16
4737,495,2014 - 2015,Regular,13
4738,364,2014 - 2015,Regular,11
4739,319,2014 - 2015,Regular,8
4740,246,2014 - 2015,Regular,6
4741,585,2014 - 2015,Regular,14
4742,586,2014 - 2015,Regular,15
4744,587,2014 - 2015,Regular,6
4745,418,2014 - 2015,Regular,12
4746,138,2014 - 2015,Regular,6
4747,377,2014 - 2015,Regular,16
4750,588,2014 - 2015,Life,0
4751,589,2014 - 2015,Regular,4
4752,146,2014 - 2015,Regular,19
4753,494,2014 - 2015,Regular,14
4754,591,2014 - 2015,Regular,15
4755,592,2014 - 2015,Student,4
4756,196,2014 - 2015,Regular,13
4757,593,2014 - 2015,Regular,7
4758,594,2014 - 2015,Regular,6
4761,598,2014 - 2015,Regular,4
4762,600,2014 - 2015,Regular,5
4763,492,2014 - 2015,Regular,12
4764,445,2014 - 2015,Regular,8
4765,151,2014 - 2015,Regular,19
4766,53,2014 - 2015,Regular,8
4767,605,2014 - 2015,Regular,17
4768,606,2014 - 2015,Life,0
4770,27,2014 - 2015,Regular,8
4771,607,2014 - 2015,Regular,4
4772,608,2014 - 2015,Regular,15
4773,610,2014 - 2015,Regular,3
4775,612,2014 - 2015,Regular,4
4778,6,2014 - 2015,Regular,5
4779,195,2014 - 2015,Regular,17
4780,444,2014 - 2015,Regular,9
4781,178,2014 - 2015,Regular,6
4782,446,2014 - 2015,Regular,17
4783,193,2014 - 2015,Regular,20
4784,33,2014 - 2015,Regular,13
4785,615,2014 - 2015,Student,4
4786,30,2014 - 2015,Regular,10
4787,180,2014 - 2015,Regular,10
4788,257,2014 - 2015,Regular,6
4789,396,2014 - 2015,Regular,13
4791,127,2014 - 2015,Regular,11
4793,618,2014 - 2015,Regular,2
4795,622,2014 - 2015,Regular,6
4797,624,2014 - 2015,Regular,6
4798,121,2014 - 2015,Regular,13
4799,518,2014 - 2015,Regular,6
4800,266,2014 - 2015,Regular,13
4801,363,2014 - 2015,Regular,17
4802,483,2014 - 2015,Regular,9
4803,145,2014 - 2015,Regular,6
4804,213,2014 - 2015,Regular,10
4805,631,2014 - 2015,Regular,6
4806,633,2014 - 2015,Regular,4
4807,9,2014 - 2015,Regular,13
4808,634,2014 - 2015,Regular,15
4809,635,2014 - 2015,Regular,7
4810,638,2014 - 2015,Regular,6
4812,118,2014 - 2015,Regular,9
4813,640,2014 - 2015,Regular,6
4815,643,2014 - 2015,Regular,5
4816,645,2014 - 2015,Regular,4
4817,648,2014 - 2015,Regular,7
4818,649,2014 - 2015,Regular,3
4819,650,2014 - 2015,Regular,5
4820,387,2014 - 2015,Regular,10
4821,652,2014 - 2015,Regular,8
4822,654,2014 - 2015,Regular,8
4823,655,2014 - 2015,Honorary,0
4824,656,2014 - 2015,Honorary,0
4825,284,2014 - 2015,Life,0
4826,657,2014 - 2015,Honorary,0
4827,659,2014 - 2015,Regular,6
4829,675,2014 - 2015,Senior,0
4830,498,2014 - 2015,Regular,13
4831,677,2014 - 2015,Student,4
4833,682,2014 - 2015,Regular,13
4834,683,2014 - 2015,Student,17
4835,684,2014 - 2015,Student,15
4837,686,2014 - 2015,Regular,10
4838,688,2014 - 2015,Regular,12
4839,690,2014 - 2015,Regular,4
4840,691,2014 - 2015,Regular,17
4842,697,2014 - 2015,Regular,4
4844,701,2014 - 2015,Regular,7
4848,707,2014 - 2015,Regular,7
4849,708,2014 - 2015,Regular,3
4850,709,2014 - 2015,Regular,4
4851,712,2014 - 2015,Regular,5
4852,714,2014 - 2015,Regular,4
4853,715,2014 - 2015,Regular,7
4854,717,2014 - 2015,Regular,5
4855,718,2014 - 2015,Regular,4
4856,719,2014 - 2015,Prospective,3
4859,723,2014 - 2015,Regular,4
4860,724,2014 - 2015,Regular,5
4861,725,2014 - 2015,Regular,3
4862,726,2014 - 2015,Regular,5
4863,730,2014 - 2015,Regular,2
4864,732,2014 - 2015,Regular,4
4865,263,2014 - 2015,Regular,17
4866,739,2014 - 2015,Regular,4
4867,740,2014 - 2015,Regular,3
4868,742,2014 - 2015,Regular,4
4869,743,2014 - 2015,Regular,16
4870,744,2014 - 2015,Regular,2
4872,746,2014 - 2015,Regular,5
4873,748,2014 - 2015,Regular,4
4874,749,2014 - 2015,Regular,3
4875,755,2014 - 2015,Regular,3
4876,756,2014 - 2015,Regular,5
4877,757,2014 - 2015,Regular,4
4880,763,2014 - 2015,Regular,12
4881,173,2014 - 2015,Regular,6
4882,7105,2014 - 2015,Regular,4
4883,775,2014 - 2015,Mixed,0
4884,776,2014 - 2015,Student,3
4885,777,2014 - 2015,Senior,0
4886,778,2014 - 2015,Regular,4
4887,781,2014 - 2015,Regular,2
4889,754,2014 - 2015,Second Year,3
4891,786,2014 - 2015,Regular,3
4892,787,2014 - 2015,Regular,3
4893,789,2014 - 2015,Regular,3
4896,792,2014 - 2015,Regular,13
4897,793,2014 - 2015,Regular,18
4898,795,2014 - 2015,Second Year,3
4899,796,2014 - 2015,Student,2
4900,797,2014 - 2015,Second Year,3
4901,798,2014 - 2015,Second Year,2
4902,799,2014 - 2015,Second Year,2
4903,800,2014 - 2015,Second Year,2
4904,801,2014 - 2015,Second Year,1
4909,1803,2014 - 2015,Regular,4
4910,1804,2014 - 2015,Second Year,5
4911,569,2014 - 2015,Regular,15
4913,1807,2014 - 2015,Second Year,5
4914,1809,2014 - 2015,Regular,7
4915,1810,2014 - 2015,Prospective,3
4916,1811,2014 - 2015,Second Year,3
4919,240,2014 - 2015,Regular,15
4921,1815,2014 - 2015,Second Year,3
4922,1816,2014 - 2015,Second Year,2
4923,1817,2014 - 2015,Second Year,2
4924,1818,2014 - 2015,Second Year,3
4925,269,2014 - 2015,Regular,8
4926,1820,2014 - 2015,Second Year,3
4929,1822,2014 - 2015,Second Year,2
4930,465,2014 - 2015,Regular,7
4931,1823,2014 - 2015,Second Year,2
4932,1824,2014 - 2015,Second Year,2
4933,1825,2014 - 2015,Second Year,2
4934,1826,2014 - 2015,Second Year,2
4935,1827,2014 - 2015,Second Year,2
4938,1830,2014 - 2015,Social,2
4940,1833,2014 - 2015,Second Year,4
4944,1837,2014 - 2015,Second Year,1
4945,1838,2014 - 2015,Second Year,3
4946,1839,2014 - 2015,Second Year,2
4947,1840,2014 - 2015,Second Year,3
4951,369,2014 - 2015,Regular,11
4952,38,2014 - 2015,Regular,15
4955,1849,2014 - 2015,Second Year,15
4956,1850,2014 - 2015,Second Year,3
4957,1851,2014 - 2015,Second Year,2
4959,317,2014 - 2015,Regular,8
4961,1854,2014 - 2015,Second Year,3
4962,2854,2014 - 2015,Second Year,2
4963,402,2014 - 2015,Regular,8
4965,573,2014 - 2015,Regular,4
4966,2858,2014 - 2015,Regular,2
4968,303,2014 - 2015,Regular,19
4973,2863,2014 - 2015,Prospective,2
4974,567,2014 - 2015,Regular,11
4975,170,2014 - 2015,Regular,16
4976,2864,2014 - 2015,Second Year,2
4978,2866,2014 - 2015,Prospective,1
4981,676,2014 - 2015,Second Year,18
5987,672,2014 - 2015,Regular,12
5988,3893,2014 - 2015,First Year,1
5989,3894,2014 - 2015,First Year,1
5990,3895,2014 - 2015,Regular,16
5991,3896,2014 - 2015,Social,0
5992,499,2014 - 2015,Regular,15
5995,584,2014 - 2015,Regular,9
5999,112,2014 - 2015,Regular,5
6006,3904,2014 - 2015,Regular,4
6007,3905,2014 - 2015,First Year,1
6011,3909,2014 - 2015,First Year,1
6012,3910,2014 - 2015,Regular,10
6013,519,2014 - 2015,Regular,18
6014,3911,2014 - 2015,Second Year,2
6015,3912,2014 - 2015,First Year,1
6017,3914,2014 - 2015,Regular,17
6018,3915,2014 - 2015,Learn2Curl,1
6019,3916,2014 - 2015,First Year,2
6020,3917,2014 - 2015,Learn2Curl,1
6021,3918,2014 - 2015,Learn2Curl,1
6023,3920,2014 - 2015,First Year,1
6024,3921,2014 - 2015,First Year,1
6025,3922,2014 - 2015,First Year,1
6026,3923,2014 - 2015,Learn2Curl,1
6027,3924,2014 - 2015,Regular,6
6028,3925,2014 - 2015,Prospective,1
6029,3926,2014 - 2015,Learn2Curl,1
6030,3927,2014 - 2015,Learn2Curl,1
6033,3930,2014 - 2015,First Year,1
6034,3931,2014 - 2015,First Year,1
6035,3932,2014 - 2015,Learn2Curl,1
6036,3933,2014 - 2015,Regular,2
6037,3934,2014 - 2015,First Year,1
6038,738,2014 - 2015,Second Year,2
6039,3935,2014 - 2015,Learn2Curl,1
6040,3936,2014 - 2015,Second Year,2
6041,3937,2014 - 2015,First Year,1
6042,3938,2014 - 2015,First Year,2
6043,3939,2014 - 2015,Learn2Curl,1
6044,3940,2014 - 2015,Regular,8
6045,3941,2014 - 2015,Learn2Curl,1
6046,3942,2014 - 2015,Regular,7
6047,3943,2014 - 2015,Second Year,4
6048,3944,2014 - 2015,First Year,1
6052,3948,2014 - 2015,Regular,4
6053,3949,2014 - 2015,Learn2Curl,1
6054,3950,2014 - 2015,Learn2Curl,1
6055,3951,2014 - 2015,Regular,7
6056,3952,2014 - 2015,Learn2Curl,1
6057,3953,2014 - 2015,Learn2Curl,1
6059,3955,2014 - 2015,First Year,1
6060,3956,2014 - 2015,First Year,1
6062,3958,2014 - 2015,First Year,15
7052,497,2014 - 2015,Regular,5
7053,4948,2014 - 2015,Learn2Curl,1
7054,4949,2014 - 2015,First Year,1
7055,4950,2014 - 2015,First Year,1
7057,4952,2014 - 2015,Learn2Curl,1
7058,4953,2014 - 2015,First Year,1
7059,4954,2014 - 2015,First Year,1
7060,4955,2014 - 2015,Learn2Curl,1
7061,4956,2014 - 2015,First Year,1
7062,4957,2014 - 2015,First Year,1
7063,4958,2014 - 2015,First Year,1
7064,4959,2014 - 2015,Learn2Curl,1
7065,4960,2014 - 2015,Regular,8
7066,4961,2014 - 2015,First Year,1
7067,4962,2014 - 2015,Learn2Curl,1
7068,4963,2014 - 2015,Regular,16
7069,4964,2014 - 2015,Regular,12
7070,4965,2014 - 2015,Learn2Curl,1
7071,4966,2014 - 2015,Learn2Curl,1
7072,4967,2014 - 2015,First Year,1
7073,4968,2014 - 2015,Learn2Curl,1
7074,4969,2014 - 2015,First Year,1
7075,4970,2014 - 2015,First Year,1
7076,4971,2014 - 2015,Second Year,2
7077,4972,2014 - 2015,Learn2Curl,1
7078,4973,2014 - 2015,Learn2Curl,1
7079,4974,2014 - 2015,Learn2Curl,1
7080,4975,2014 - 2015,Learn2Curl,1
7081,4976,2014 - 2015,Learn2Curl,1
7082,119,2014 - 2015,Regular,3
7083,4977,2014 - 2015,Learn2Curl,1
7084,4978,2014 - 2015,Learn2Curl,1
7085,4979,2014 - 2015,First Year,1
7087,4981,2014 - 2015,Learn2Curl,1
7088,4982,2014 - 2015,First Year,1
7089,4983,2014 - 2015,Learn2Curl,1
7090,4984,2014 - 2015,First Year,1
7091,4985,2014 - 2015,Learn2Curl,1
7092,4986,2014 - 2015,First Year,1
7093,4987,2014 - 2015,Mixed,1
7094,4988,2014 - 2015,First Year,1
7095,4989,2014 - 2015,Learn2Curl,1
7096,4990,2014 - 2015,Learn2Curl,1
7097,19,2014 - 2015,Regular,17
7098,4991,2014 - 2015,First Year,1
7100,4993,2014 - 2015,First Year,1
7101,4994,2014 - 2015,First Year,1
7102,4995,2014 - 2015,Learn2Curl,1
7104,4997,2014 - 2015,Learn2Curl,1
7105,4998,2014 - 2015,Mixed,1
7106,4999,2014 - 2015,Regular,3
7107,5000,2014 - 2015,Regular,2
7108,5001,2014 - 2015,First Year,1
7109,5002,2014 - 2015,Learn2Curl,1
7110,5003,2014 - 2015,First Year,1
7111,5004,2014 - 2015,First Year,1
7112,5005,2014 - 2015,Senior,0
7113,5006,2014 - 2015,First Year,1
7114,5007,2014 - 2015,First Year,1
7118,5011,2014 - 2015,First Year,1
7119,5012,2014 - 2015,First Year,1
7120,5013,2014 - 2015,Learn2Curl,0
7121,5014,2014 - 2015,Learn2Curl,0
7122,5015,2014 - 2015,Learn2Curl,0
7123,5016,2014 - 2015,First Year,1
7124,5017,2014 - 2015,First Year,1
7125,5018,2014 - 2015,Regular,5
7126,5019,2014 - 2015,First Year,1
7127,5020,2014 - 2015,First Year,1
7128,5021,2014 - 2015,First Year,1
7129,5022,2014 - 2015,First Year,1
7130,5023,2014 - 2015,First Year,1
7131,5024,2014 - 2015,First Year,3
7132,5025,2014 - 2015,First Year,1
7134,5027,2014 - 2015,First Year,1
7135,5028,2014 - 2015,First Year,1
7136,5029,2014 - 2015,Second Year,1
7139,5032,2014 - 2015,First Year,1
7140,5033,2014 - 2015,First Year,1
7141,5034,2014 - 2015,Regular,1
8139,6032,2014 - 2015,First Year,1
8140,6033,2014 - 2015,First Year,1
8141,6034,2014 - 2015,First Year,1
8142,74,2014 - 2015,Regular,10
8143,6036,2014 - 2015,First Year,1
8144,6037,2014 - 2015,First Year,1
8145,172,2014 - 2015,Regular,19
8146,6038,2014 - 2015,First Year,1
8147,6039,2014 - 2015,First Year,1
8148,6040,2014 - 2015,First Year,1
8149,6041,2014 - 2015,Second Year,2
8150,6042,2014 - 2015,Unknown,0
8151,6043,2014 - 2015,Second Year,3
8152,6044,2014 - 2015,Regular,17
8153,6045,2014 - 2015,First Year,1
8154,6046,2014 - 2015,Regular,3
8155,6047,2014 - 2015,Regular,3
8156,6048,2014 - 2015,First Year,1
8157,6049,2014 - 2015,First Year,1
8159,6051,2014 - 2015,Mixed,6
8163,6055,2014 - 2015,Student,1
8164,6056,2014 - 2015,Social,0
8165,6057,2014 - 2015,First Year,1
8166,6058,2014 - 2015,First Year,1
8167,6059,2014 - 2015,First Year,1
8169,6061,2014 - 2015,First Year,1
8170,6062,2014 - 2015,First Year,1
8171,6063,2014 - 2015,First Year,1
8172,6064,2014 - 2015,Student,1
8173,6065,2014 - 2015,First Year,1
8174,6066,2014 - 2015,First Year,1
8177,6069,2014 - 2015,Regular,1
8178,6070,2014 - 2015,First Year,1
8179,6071,2014 - 2015,First Year,1
8180,293,2014 - 2015,Social,0
8181,6072,2014 - 2015,First Year,1
8182,6073,2014 - 2015,First Year,1
9183,7074,2014 - 2015,Prospective,0
9184,7075,2014 - 2015,Prospective,1
9185,7076,2014 - 2015,Prospective,1
9186,7077,2014 - 2015,Regular,0
9187,7078,2014 - 2015,Prospective,0
9188,1832,2014 - 2015,Second Year,0
9189,500,2014 - 2015,Regular,16
9190,765,2014 - 2015,Student,2
9191,7079,2014 - 2015,Prospective,0
9192,533,2014 - 2015,Regular,0
9193,7080,2014 - 2015,First Year,1
9194,772,2014 - 2015,Senior,2
9195,7081,2014 - 2015,Prospective,0
9196,354,2014 - 2015,Honorary,0
9809,264,2015 - 2016,Regular,15
9810,310,2015 - 2016,Regular,16
9811,23,2015 - 2016,Regular,10
9812,427,2015 - 2016,Regular,16
9813,111,2015 - 2016,Regular,19
9814,93,2015 - 2016,Regular,14
9815,83,2015 - 2016,Regular,12
9816,99,2015 - 2016,Regular,19
9817,82,2015 - 2016,Regular,16
9818,122,2015 - 2016,Regular,19
9819,231,2015 - 2016,Regular,15
9820,16,2015 - 2016,Regular,15
9821,91,2015 - 2016,Regular,9
9822,218,2015 - 2016,Regular,12
9823,376,2015 - 2016,Regular,10
9824,25,2015 - 2016,Regular,18
9825,258,2015 - 2016,Regular,17
9826,457,2015 - 2016,Regular,8
9827,410,2015 - 2016,Regular,19
9829,34,2015 - 2016,Regular,15
9830,194,2015 - 2016,Regular,14
9832,373,2015 - 2016,Regular,17
9833,59,2015 - 2016,Regular,9
9834,463,2015 - 2016,Regular,7
9835,71,2015 - 2016,Regular,13
9836,471,2015 - 2016,Regular,16
9837,149,2015 - 2016,Regular,14
9839,406,2015 - 2016,Regular,4
9841,439,2015 - 2016,Senior,0
9842,26,2015 - 2016,Regular,8
9843,143,2015 - 2016,Regular,15
9844,163,2015 - 2016,Regular,8
9845,332,2015 - 2016,Regular,16
9846,105,2015 - 2016,Regular,12
9847,380,2015 - 2016,Regular,12
9848,470,2015 - 2016,Regular,16
9849,321,2015 - 2016,Regular,16
9850,209,2015 - 2016,Regular,19
9852,142,2015 - 2016,Regular,14
9853,447,2015 - 2016,Regular,15
9854,191,2015 - 2016,Regular,13
9855,481,2015 - 2016,Regular,9
9856,343,2015 - 2016,Regular,13
9857,274,2015 - 2016,Regular,9
9858,15,2015 - 2016,Regular,7
9859,401,2015 - 2016,Regular,13
9860,351,2015 - 2016,Regular,4
9861,502,2015 - 2016,Regular,19
9862,534,2015 - 2016,Regular,15
9863,398,2015 - 2016,Regular,18
9864,532,2015 - 2016,Regular,7
9865,86,2015 - 2016,Senior,0
9866,411,2015 - 2016,Regular,7
9867,152,2015 - 2016,Regular,18
9868,216,2015 - 2016,Regular,6
9870,95,2015 - 2016,Regular,4
9871,202,2015 - 2016,Regular,15
9872,297,2015 - 2016,Regular,15
9873,486,2015 - 2016,Regular,8
9875,347,2015 - 2016,Regular,20
9876,488,2015 - 2016,Regular,14
9877,28,2015 - 2016,Regular,14
9878,205,2015 - 2016,Regular,12
9879,210,2015 - 2016,Regular,18
9880,46,2015 - 2016,Regular,17
9881,273,2015 - 2016,Regular,18
9882,307,2015 - 2016,Regular,13
9883,24,2015 - 2016,Unknown,0
9884,208,2015 - 2016,Regular,17
9885,233,2015 - 2016,Regular,15
9886,435,2015 - 2016,Regular,16
9887,453,2015 - 2016,Regular,16
9888,252,2015 - 2016,Regular,11
9889,419,2015 - 2016,Regular,18
9890,368,2015 - 2016,Regular,13
9891,113,2015 - 2016,Regular,12
9892,249,2015 - 2016,Regular,6
9893,211,2015 - 2016,Regular,12
9894,523,2015 - 2016,Regular,18
9895,262,2015 - 2016,Regular,18
9896,136,2015 - 2016,Regular,6
9897,220,2015 - 2016,Regular,11
9898,360,2015 - 2016,Regular,17
9899,129,2015 - 2016,Regular,18
9900,171,2015 - 2016,Regular,18
9901,117,2015 - 2016,Regular,15
9902,230,2015 - 2016,Regular,14
9903,103,2015 - 2016,Regular,4
9904,473,2015 - 2016,Regular,16
9905,393,2015 - 2016,Regular,12
9908,245,2015 - 2016,Regular,19
9910,474,2015 - 2016,Regular,19
9911,451,2015 - 2016,Regular,13
9912,279,2015 - 2016,Regular,11
9913,524,2015 - 2016,Regular,17
9914,312,2015 - 2016,Regular,16
9915,166,2015 - 2016,Regular,17
9916,361,2015 - 2016,Regular,16
9917,90,2015 - 2016,Regular,10
9918,372,2015 - 2016,Regular,9
9919,45,2015 - 2016,Regular,15
9920,300,2015 - 2016,Regular,11
9921,42,2015 - 2016,Regular,9
9923,346,2015 - 2016,Regular,19
9924,420,2015 - 2016,Regular,16
9925,525,2015 - 2016,Regular,5
9926,326,2015 - 2016,Regular,12
9927,416,2015 - 2016,Regular,16
9928,64,2015 - 2016,Regular,7
9929,513,2015 - 2016,Regular,7
9930,287,2015 - 2016,Regular,6
9931,365,2015 - 2016,Regular,16
9932,2,2015 - 2016,Regular,8
9933,244,2015 - 2016,Regular,6
9934,7,2015 - 2016,Regular,12
9935,289,2015 - 2016,Regular,12
9936,185,2015 - 2016,Social,17
9937,476,2015 - 2016,Regular,13
9938,251,2015 - 2016,Regular,9
9939,222,2015 - 2016,Regular,13
9940,408,2015 - 2016,Regular,15
9941,65,2015 - 2016,Regular,18
9942,100,2015 - 2016,Regular,8
9944,41,2015 - 2016,Regular,12
9945,109,2015 - 2016,Regular,7
9946,101,2015 - 2016,Regular,15
9947,353,2015 - 2016,Regular,15
9948,161,2015 - 2016,Regular,11
9949,199,2015 - 2016,Regular,9
9950,217,2015 - 2016,Regular,5
9951,174,2015 - 2016,Regular,10
9952,304,2015 - 2016,Regular,16
9954,294,2015 - 2016,Regular,18
9955,535,2015 - 2016,Regular,13
9956,550,2015 - 2016,Regular,13
9957,551,2015 - 2016,Regular,17
9958,12,2015 - 2016,Honorary,0
9959,51,2015 - 2016,Life,0
9960,62,2015 - 2016,Honorary,0
9962,382,2015 - 2016,Honorary,0
9963,552,2015 - 2016,Regular,9
9964,554,2015 - 2016,Regular,9
9966,323,2015 - 2016,Regular,7
9967,432,2015 - 2016,Regular,7
9968,320,2015 - 2016,Regular,12
9969,338,2015 - 2016,Regular,17
9970,482,2015 - 2016,Regular,12
9971,487,2015 - 2016,Regular,7
9972,370,2015 - 2016,Regular,12
9973,512,2015 - 2016,Regular,3
9974,135,2015 - 2016,Regular,9
9975,75,2015 - 2016,Regular,18
9976,17,2015 - 2016,Regular,14
9977,433,2015 - 2016,Regular,15
9978,128,2015 - 2016,Regular,9
9981,399,2015 - 2016,Regular,9
9982,308,2015 - 2016,Regular,10
9984,336,2015 - 2016,Social,0
9985,8,2015 - 2016,Regular,17
9986,344,2015 - 2016,Regular,18
9987,282,2015 - 2016,Regular,18
9988,345,2015 - 2016,Regular,19
9989,235,2015 - 2016,Regular,16
